order_id,product_id
1000,Apples
1000,Bananas
1000,Yogurt
1001,Milk
1001,Bread
1001,Cheese
1002,Chicken Breast
1002,Rice
1002,Pasta
1003,Ice Cream
1003,Chips
1003,Soda
1004,Olive Oil
1004,Tomatoes
1004,Bell Peppers
1005,Carrots
1005,Broccoli
1005,Spinach
1006,Ground Beef
1006,Pork Chops
1006,Bacon
1007,Shrimp
1007,Frozen Vegetables
1007,Frozen Pizza
1008,Peanut Butter
1008,Jelly
1008,Bagels
1009,Granola Bars
1009,Chocolates
1009,Nuts
1010,Orange Juice
1010,Coffee
1010,Tea
1011,Canned Beans
1011,Canned Tomatoes
1011,Vegetable Broth
1012,Dish Soap
1012,Laundry Detergent
1012,Paper Towels
1013,Toilet Paper
1013,Cleaning Supplies
1013,Almonds
1014,Potatoes
1014,Onions
1014,Ginger
1015,Cucumber
1015,Strawberries
1015,Watermelon
1016,Grapes
1016,Blueberries
1016,Blackberries
1017,Fish Fillets
1017,Tofu
1017,Lentils
1018,Spinach
1018,Quinoa
1018,Couscous
1019,Coconut Milk
1019,Curry Paste
1019,Soy Sauce
1020,Canned Soup
1020,Salsa
1020,Tortilla Chips
1021,Vanilla Extract
1021,Baking Powder
1021,Sugar
1022,Flour
1022,Brown Sugar
1022,Yeast
1023,Hot Sauce
1023,Ketchup
1023,Mustard
1024,Canned Corn
1024,Canned Peas
1024,Pickles
1025,Ice Cream Cones
1025,Milk Chocolate
1025,Dark Chocolate
1026,Peas
1026,Carrot Sticks
1026,Capers
1027,Sardines
1027,Anchovies
1027,Crab Meat
1028,Hummus
1028,Pita Bread
1028,Feta Cheese
1029,Pineapple
1029,Kiwi
1029,Papaya
1030,Almond Milk
1030,Coconut Water
1030,Herbal Tea
